match_id,date,team_1,team_2,winner,result,venue,city,toss_winner,toss_decision,by_runs,by_wickets
1359795,2023-02-25,Bermuda,Cayman Islands,Bermuda,,"St Albans Club, Buenos Aires",Buenos Aires,Bermuda,bat,96.0,
1359789,2023-02-28,Bermuda,Panama,Bermuda,,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Bermuda,bat,60.0,
1359799,2023-03-02,Cayman Islands,Panama,Cayman Islands,,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Cayman Islands,bat,12.0,
1359802,2023-03-04,Argentina,Cayman Islands,Cayman Islands,,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Argentina,bat,,3.0
1351400,2023-03-09,England,Bangladesh,Bangladesh,,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Bangladesh,field,,6.0
1361773,2023-03-09,Hong Kong,Kuwait,Hong Kong,,"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,Kuwait,field,11.0,
1361774,2023-03-11,Kuwait,Bahrain,Bahrain,,"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,Bahrain,field,,4.0
1361776,2023-03-12,Bahrain,Kuwait,Kuwait,,"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,Kuwait,field,,6.0
1351401,2023-03-12,England,Bangladesh,Bangladesh,,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,field,,4.0
1351402,2023-03-14,Bangladesh,England,Bangladesh,,"Shere Bangla National Stadium, Mirpur",Dhaka,England,field,16.0,
1355721,2023-03-29,Bangladesh,Ireland,Bangladesh,,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Ireland,field,77.0,
1339604,2023-03-25,South Africa,West Indies,West Indies,,"SuperSport Park, Centurion",Centurion,West Indies,field,,3.0
1339605,2023-03-26,West Indies,South Africa,South Africa,,"SuperSport Park, Centurion",Centurion,South Africa,field,,6.0
1339606,2023-03-28,West Indies,South Africa,West Indies,,"The Wanderers Stadium, Johannesburg",Johannesburg,South Africa,field,7.0,
1355722,2023-03-31,Bangladesh,Ireland,Ireland,,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Bangladesh,bat,,7.0
1322363,2023-04-05,Sri Lanka,New Zealand,New Zealand,,"University Oval, Dunedin",Dunedin,New Zealand,field,,9.0
1322364,2023-04-08,Sri Lanka,New Zealand,New Zealand,,"John Davies Oval, Queenstown",Queenstown,New Zealand,field,,4.0
1367722,2023-04-10,Portugal,Gibraltar,Portugal,,Santarem Cricket Ground,Albergaria,Portugal,bat,124.0,
